==== d = 0 patterns with symbolic (q1,q2,q3): linear system for (K, A); consistency constraints on the rod ====
   n=2 e=(1,1,1,3): 10 equations, rank 1 / augmented 1: CONSISTENT for all rods: [{A: 0}]   [2.2s]
   n=3 e=(1,1,1,2): 11 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -3*(q1*q2 + q1*q3 + q2*q3)/16, K: -(q1 + q2 + q3)/16}]   [3.4s]
   n=3 e=(1,1,2,3): 10 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -(q1*q2 + 3*q1*q3 + 3*q2*q3)/16, K: (q1*q2 - q1*q3 - q2*q3 - q3**2)/(16*q3)}]   [8.9s]
   n=3 e=(1,2,1,3): 10 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -(3*q1*q2 + q1*q3 + 3*q2*q3)/16, K: -(q1*q2 - q1*q3 + q2**2 + q2*q3)/(16*q2)}]   [8.8s]
   n=3 e=(2,1,1,3): 10 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -(3*q1*q2 + 3*q1*q3 + q2*q3)/16, K: -(q1**2 + q1*q2 + q1*q3 - q2*q3)/(16*q1)}]   [11.9s]
   n=4 e=(1,1,1,1): 11 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -(q1*q2 + q1*q3 + q2*q3)/2, K: -(q1 + q2 + q3)/4}]   [4.8s]
   n=4 e=(1,1,2,2): 11 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 3*q3*(q1*q2 - q1*q3 - q2*q3)   [8.6s]
   n=4 e=(1,1,3,3): 10 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -q3*(q1 + q2)/2, K: -q3/4}]   [10.4s]
   n=4 e=(1,2,1,2): 11 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 3*q2*(q1*q2 - q1*q3 + q2*q3)   [8.8s]
   n=4 e=(1,2,2,3): 10 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 3*q2*q3*(q2 - q3)**2*(q1*q2 + q1*q3 - q2*q3)   [21.9s]
   n=4 e=(1,3,1,3): 10 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -q2*(q1 + q3)/2, K: -q2/4}]   [10.2s]
   n=4 e=(2,1,1,2): 11 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 3*q1*(q1*q2 + q1*q3 - q2*q3)   [8.4s]
   n=4 e=(2,1,2,3): 10 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 3*q1*q3*(q1 - q3)**2*(q1*q2 - q1*q3 + q2*q3)   [20.4s]
   n=4 e=(2,2,1,3): 10 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 3*q1*q2*(q1 - q2)**2*(q1*q2 - q1*q3 - q2*q3)   [19.0s]
   n=4 e=(3,1,1,3): 10 equations, rank 2 / augmented 2: CONSISTENT for all rods: [{A: -q1*(q2 + q3)/2, K: -q1/4}]   [9.0s]
   n=5 e=(1,1,2,1): 11 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 4*q3*(q1 - q3)*(q2 - q3)   [8.1s]
   n=5 e=(1,1,3,2): 11 equations, rank 2 / augmented 3: INCONSISTENT for generic rods; gcd of constraints = 12*q3**3   [5.3s]
